date,atr,macd,macd_signal,macd_histogram,rsi
2017-10-16 18:15:00,-5.69638399345333,-5.700711203636378,-5.70017362161052,-5.700908687337127,-0.04653415324606366
2017-10-16 18:30:00,-5.696436424545428,-5.700765131163372,-5.70029192352109,-5.700844312953551,-0.24661557394099132
2017-10-16 18:45:00,-5.69646349543282,-5.7009507490714215,-5.700423688631157,-5.700898165751534,-0.5297401527941278
2017-10-16 19:00:00,-5.696510247812098,-5.701231392907508,-5.700585229486427,-5.70101726873235,-0.7829711944073023
2017-10-16 19:15:00,-5.696596890989116,-5.701411291746411,-5.700750441938424,-5.701031955119256,-0.7068133653363371
2017-10-16 19:30:00,-5.6966773453677755,-5.701365369367132,-5.700873427424165,-5.700863047254235,-0.2794754180519682
2017-10-16 19:45:00,-5.696806090821856,-5.701393497058538,-5.70097744135104,-5.700787161018766,-0.4344823004663613
2017-10-16 20:00:00,-5.696874304246158,-5.701612090481685,-5.701104371177169,-5.700878824615786,-0.8311244907597388
2017-10-16 20:15:00,-5.6962945952636455,-5.702393832592271,-5.701362263460189,-5.701402674443351,-1.6903021375641336
2017-10-16 20:30:00,-5.696072415293604,-5.703330269658507,-5.7017558646998525,-5.7019455102699235,-2.0246485907000555
2017-10-16 20:45:00,-5.6957337126703775,-5.703728473120017,-5.702150386383885,-5.7019491920474,-1.3484110772116413
2017-10-16 21:00:00,-5.695000410011829,-5.704647939499704,-5.702649897007049,-5.702369147803924,-1.9307312194729485
2017-10-16 21:15:00,-5.694840951046275,-5.705262247860676,-5.703172367177775,-5.70246098599417,-1.815687733612013
2017-10-16 21:30:00,-5.694341636197936,-5.706611157942812,-5.703860125330783,-5.703122137923298,-2.414498450346037
2017-10-16 21:45:00,-5.6944048554092515,-5.707654217045434,-5.7046189436737125,-5.70340637868299,-2.44418214743477
2017-10-16 22:00:00,-5.693490878261055,-5.709429466399196,-5.705581048218809,-5.7042195234916555,-2.8777661423172334
2017-10-16 22:15:00,-5.693544616734654,-5.710403282474019,-5.706545495069851,-5.704228892715436,-2.3669238584066536
2017-10-16 22:30:00,-5.693691784816008,-5.710786377304756,-5.707393671516832,-5.703763811099193,-1.9619131610265972
2017-10-16 22:45:00,-5.6939067957258445,-5.710735483052434,-5.7080620338239525,-5.70304455453975,-1.6236614782402379
2017-10-16 23:00:00,-5.694082131696011,-5.7106680209609735,-5.708583231251357,-5.702455895020886,-1.6829681144287683
2017-10-16 23:15:00,-5.694452989262809,-5.710419367373602,-5.708950458475806,-5.701840014209064,-1.5619468500957219
2017-10-16 23:30:00,-5.694694685151575,-5.710019518310844,-5.709164270442813,-5.701226353179299,-1.4183637855556421
2017-10-16 23:45:00,-5.694970452974202,-5.709656642755034,-5.709262744905258,-5.700765003161045,-1.4683069500001542
2017-10-17 01:00:00,-5.69494012266642,-5.7089074383920195,-5.70919168360261,-5.700086860100678,-0.8949422795419958
2017-10-17 01:15:00,-5.69519565734715,-5.70836197959838,-5.709025742801764,-5.699707342107885,-1.0310136521750817
2017-10-17 01:30:00,-5.695357286607229,-5.707704756917514,-5.708761545624914,-5.699314316603869,-0.8130649969687924
2017-10-17 01:45:00,-5.695628956007855,-5.707160579419188,-5.708441352383769,-5.699090332346689,-0.8726234269218068
2017-10-17 02:00:00,-5.695729914564384,-5.706871098841759,-5.7081273016753675,-5.69911490247766,-1.1041628047734386
2017-10-17 02:15:00,-5.695880401503039,-5.706636608738253,-5.707829163087944,-5.6991785509615775,-1.1745106038716455
2017-10-17 02:30:00,-5.696017437483808,-5.7064026121464755,-5.707543852899651,-5.699229864558093,-1.1978965018383552
2017-10-17 02:45:00,-5.696177107870288,-5.70606605646581,-5.707248293612882,-5.699188868164196,-1.0273942675736771
2017-10-17 03:00:00,-5.696157855997228,-5.705996978195492,-5.706998030529404,-5.699370052977356,-1.333338373996599
2017-10-17 03:15:00,-5.696283179472354,-5.705848569568831,-5.7067681383372895,-5.69945153654281,-1.2685887642092855
2017-10-17 03:30:00,-5.696269860510477,-5.705769451137246,-5.706568400897281,-5.699572155551234,-1.3880597004804953
2017-10-17 03:45:00,-5.696295319374747,-5.705673101618403,-5.706389341041505,-5.699654865888165,-1.4213484033646833
2017-10-17 04:00:00,-5.696267623822798,-5.705377265188334,-5.70618692587087,-5.699561444628731,-1.0366493696539072
2017-10-17 04:15:00,-5.6963121556863365,-5.705067311780255,-5.705963003052747,-5.699475414038776,-0.9861900816573282
2017-10-17 04:30:00,-5.696021174129448,-5.705139087319637,-5.705798219906126,-5.69971197272478,-1.4877849674176533
2017-10-17 04:45:00,-5.696053588743298,-5.7052586680957695,-5.705690309544054,-5.699939463862984,-1.6265381354997723
2017-10-17 05:00:00,-5.696086389918426,-5.705230273097805,-5.7055983022548045,-5.700003076154269,-1.4546074930337578
2017-10-17 05:15:00,-5.696311384292785,-5.705164721158338,-5.705511586035511,-5.700024240434096,-1.470721756200185
2017-10-17 05:30:00,-5.696425741461085,-5.704895789899098,-5.705388426808229,-5.699878468402138,-1.0338667361187936
2017-10-17 05:45:00,-5.696594073749488,-5.704612402938696,-5.705233222034322,-5.699750286215642,-0.9782060645022561
2017-10-17 06:00:00,-5.696750382303004,-5.704314884774892,-5.705049554582436,-5.699636435503725,-0.9030744146865335
2017-10-17 06:15:00,-5.696868507051464,-5.70415452549918,-5.7048705487657845,-5.699655082044664,-1.1161823354477944
2017-10-17 06:30:00,-5.696986299990405,-5.704009911960989,-5.704698421404825,-5.699682595867432,-1.1596455945885091
2017-10-17 06:45:00,-5.697138909401395,-5.703885317837006,-5.704535800691262,-5.699720622457013,-1.2162822221097875
2017-10-17 07:00:00,-5.697277916249334,-5.703826108256434,-5.704393862204296,-5.699803351363407,-1.3643449164337396
2017-10-17 07:15:00,-5.697350254329114,-5.703839923109535,-5.704283074385344,-5.699927954035459,-1.544778950923554
2017-10-17 07:30:00,-5.697352580023092,-5.703723708631947,-5.704171201234664,-5.6999236127085515,-1.2250092624212876
2017-10-17 07:45:00,-5.697435796321202,-5.703621608564301,-5.704061282700592,-5.699931431174979,-1.280455828410519
2017-10-17 08:00:00,-5.697526578052207,-5.703561905291777,-5.703961407218829,-5.699971603384217,-1.3992421164220992
2017-10-17 08:15:00,-5.6975892602471525,-5.703569291720223,-5.703882984119107,-5.700057412912384,-1.58076833397863
2017-10-17 08:30:00,-5.697601532998219,-5.703608034654637,-5.703827994226214,-5.700151145739692,-1.7140655903410822
2017-10-17 08:45:00,-5.697534574289916,-5.703622623196087,-5.703786920020189,-5.700206808487167,-1.7548999268621466
2017-10-17 09:00:00,-5.697537243726598,-5.703666401045522,-5.703762816225256,-5.700274690131536,-1.8893833780297462
2017-10-17 09:15:00,-5.69709931428269,-5.704305873418855,-5.703871427663976,-5.700805551066148,-2.714068618960164
2017-10-17 09:30:00,-5.696879095981146,-5.704777131356969,-5.704052568402574,-5.701095668265665,-2.7275002369396413
2017-10-17 09:45:00,-5.696882653152784,-5.705071999445663,-5.704256454611192,-5.70118665014574,-2.624805566410294
2017-10-17 10:00:00,-5.696683314427909,-5.705044260259578,-5.70441401574087,-5.701001349829978,-1.8098213699387316
2017-10-17 10:15:00,-5.6968008259572,-5.704939096988781,-5.7045190319904515,-5.700791170309598,-1.6983495385970304
2017-10-17 10:30:00,-5.696682984975465,-5.705106396859598,-5.704636504964281,-5.700840997206587,-2.1241818393349816
2017-10-17 10:45:00,-5.696506013935768,-5.704881759188503,-5.704685555809125,-5.700567308690646,-1.1638224096216447
2017-10-17 11:00:00,-5.696557834951634,-5.704750917432397,-5.704698628133779,-5.700423394609887,-1.3177580179152182
2017-10-17 11:15:00,-5.696535705304588,-5.704565301236655,-5.704671962754356,-5.700264443793569,-1.2181166088069693
2017-10-17 11:30:00,-5.696420590167299,-5.7047462478814035,-5.704686819779765,-5.7004305334129075,-1.7648724388312722
2017-10-17 11:45:00,-5.696459599645049,-5.704702368686671,-5.7046899295611455,-5.700383544436794,-1.3735682725656626
2017-10-17 12:00:00,-5.696547158657447,-5.70451000140589,-5.7046539439300945,-5.700227162787065,-1.075597350792205
2017-10-17 12:15:00,-5.696650078581376,-5.7044298017492885,-5.704609115493933,-5.700191791566624,-1.2626398904969822
2017-10-17 12:30:00,-5.6966564846845245,-5.704203031953153,-5.704527898785777,-5.700046238478644,-0.9380337994514196
2017-10-17 12:45:00,-5.696524636776155,-5.704301549239711,-5.704482628876564,-5.700190025674416,-1.430354141842966
